address,index,name,color,in,out
COM4,0,Track 0,1,0,0
,1,Track 1,1,1,1
,2,Track 2,1,2,2
,3,Track 3,1,3,3
,4,Track 4,1,4,4
,5,Track 5,1,5,5
,6,Track 6,1,6,6
,7,Track 7,1,7,7
,8,Track 8,1,8,8
,9,Track 9,1,9,9
,10,Track 10,1,10,10
,11,Track 11,1,11,11
,12,Track 12,1,12,12
,13,Track 13,1,13,13
,14,Track 14,1,14,14
,15,Track 15,1,15,15
,16,Track 16,1,16,16
,17,Track 17,1,17,17
,18,Track 18,1,18,18
,19,Track 19,1,19,19
,20,Track 20,1,20,20
,21,Track 21,1,21,21
,22,Track 22,1,22,22
,23,Track 23,1,23,23
,24,Track 24,1,24,24
,25,Track 25,1,25,25
,26,Track 26,1,26,26
,27,Track 27,1,27,27
,28,Track 28,1,28,28
,29,Track 29,1,29,29
,30,Track 30,1,30,30
,31,Track 31,1,31,31
,32,Track 32,1,32,32
,33,Track 33,1,33,33
,34,Track 34,1,34,34
,35,Track 35,1,35,35
,36,Track 36,1,36,36
,37,Track 37,1,37,37
,38,Track 38,1,38,38
,39,Track 39,1,39,39
,40,Track 40,1,40,40
,41,Track 41,1,41,41
,42,Track 42,1,42,42
,43,Track 43,1,43,43
,44,Track 44,1,44,44
,45,Track 45,1,45,45
,46,Track 46,1,46,46
,47,Track 47,1,47,47
,48,Track 48,1,48,48
,49,Track 49,1,49,49
,50,Track 50,1,50,50
,51,Track 51,1,51,51
,52,Track 52,1,52,52
,53,Track 53,1,53,53
,54,Track 54,1,54,54
,55,Track 55,1,55,55
,56,Track 56,1,56,56
,57,Track 57,1,57,57
,58,Track 58,1,58,58
,59,Track 59,1,59,59
,60,Track 60,1,60,60
,61,Track 61,1,61,61
,62,Track 62,1,62,62
,63,Track 63,1,63,63
